,song_name,artist,player,date,api_ref
0,Adrenaline,Various Artists,2022-06-03T18:09:28.121Z,2022-06-03,1653513324329
1,One Day,Tory Lanez,2022-06-03T12:36:41.972Z,2022-06-03,1653513324329
2,PRBLMS,6LACK,2022-06-03T12:34:13.521Z,2022-06-03,1653513324329
3,Leftovers,Dennis Lloyd,2022-06-03T12:24:21.400Z,2022-06-03,1653513324329
4,Foreplay,Jalen Santoy,2022-06-03T12:19:38.623Z,2022-06-03,1653513324329
5,Reminding,Anyma,2022-05-31T23:07:17.956Z,2022-05-31,1653513324329
6,Consciousness,Anyma,2022-05-31T23:04:12.238Z,2022-05-31,1653513324329
7,Omnia,Anyma,2022-05-31T22:59:40.831Z,2022-05-31,1653513324329
8,Walking,Anyma,2022-05-31T22:54:18.575Z,2022-05-31,1653513324329
9,O Amolador,Various Artists,2022-05-25T22:40:35.542Z,2022-05-25,1653513324329
10,You're Not Alone - Solomun Remix,Agoria,2022-05-25T22:33:00.990Z,2022-05-25,1653513324329
11,You Wanted a Hit,LCD Soundsystem,2022-05-25T22:24:06.348Z,2022-05-25,1653513324329
12,In The Car Crash - Headgearâ€™s Always Crashing In The Same Car Mix,Swayzak,2022-05-25T22:14:59.472Z,2022-05-25,1653513324329
13,Revolte,Paul Kalkbrenner,2022-05-25T22:04:57.010Z,2022-05-25,1653513324329
14,Trinidad Dreams,Analog Sol,2022-05-25T22:01:57.256Z,2022-05-25,1653513324329
15,Feed Your Head,Paul Kalkbrenner,2022-05-25T21:58:19.021Z,2022-05-25,1653513324329
16,Where Have you Been All My Life - Solomun Remix Radio Edit,Perry Farrell,2022-05-25T21:34:11.728Z,2022-05-25,1653513324329
17,Home - Club Mix,Solomun,2022-05-25T21:30:17.577Z,2022-05-25,1653513324329
18,Amapola,Various Artists,2022-05-25T21:22:49.257Z,2022-05-25,1653513324329
19,Tesera,Various Artists,2022-05-25T21:15:24.329Z,2022-05-25,1653513324329
